1,Province/State,Country/Region,Unnamed: 3,First confirmed date in country (Est.),Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM
32.0,Zhejiang,Mainland China,,1/3/2020,29.182509999999997,120.0985,5.0,10.0,27.0,43.0,43.0,62.0,62.0,104.0,104.0,128.0,128.0,128.0,173.0,173.0,173.0,296.0,296.0,296.0,428.0,428.0,538.0,537.0,599.0,724.0,724.0,829.0,895.0,895.0,954.0,954.0,954.0,1006.0
33.0,,Thailand,,1/13/2020,13.7563,100.5018,2.0,2.0,3.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0,19.0,19.0,19.0,19.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0
34.0,,Japan,,1/16/2020,35.6762,139.6503,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0,15.0,17.0,17.0,20.0,20.0,20.0,22.0,22.0,45.0,45.0,45.0,25.0
35.0,,South Korea,,1/21/2020,37.5665,126.978,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,12.0,15.0,15.0,15.0,16.0,16.0,23.0,23.0,23.0,24.0
36.0,Taiwan,Taiwan,,1/21/2020,23.6978,120.9605,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,13.0,16.0,16.0
37.0,"Seattle, WA",US,,1/21/2020,47.7511,-120.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.0,"Chicago, IL",US,,1/24/2020,40.6331,-89.3985,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39.0,California,US,,1/26/2020,36.7783,-119.41799999999999,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
40.0,"Tempe, AZ",US,,1/26/2020,34.0489,-111.094,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41.0,Macau,Macau,,1/22/2020,22.1987,113.5439,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
42.0,Hong Kong,Hong Kong,,1/23/2020,22.3193,114.1694,,,2.0,2.0,2.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,12.0,13.0,13.0,15.0,15.0,15.0,18.0,21.0,21.0,21.0,24.0,25.0
